0.34	0.94	0.76	0.32	0.29	0.76	0.19	0.22	0.22	0.74	0.94	0.22	0.22	0.35	0.34	0.35	0.34	0.29	0.24	0.94	1	0.73
0.75	0.35	0.35	0.68	0.19	0.35	0.22	0.22	0.22	0.36	0.35	0.22	0.22	0.92	0.35	0.92	0.35	0.19	0.28	0.35	0.35	0.36
0.51	0.32	0.32	0.92	0.3	0.32	0.2	0.2	0.2	0.33	0.32	0.2	0.2	0.68	0.32	0.68	0.32	0.3	0.25	0.32	0.32	0.33
0.39	0.73	0.73	0.32	0.33	0.73	0.23	0.26	0.26	0.94	0.73	0.26	0.26	0.35	0.39	0.35	0.39	0.33	0.28	0.73	0.73	0.77
0.34	1	0.76	0.32	0.29	0.76	0.19	0.22	0.22	0.74	0.94	0.22	0.22	0.35	0.34	0.35	0.34	0.29	0.24	0.94	0.94	0.73
0.34	0.76	0.94	0.32	0.29	1	0.19	0.28	0.28	0.74	0.76	0.28	0.28	0.35	0.41	0.35	0.41	0.29	0.24	0.76	0.76	0.73
0.36	0.29	0.29	0.3	1	0.29	0.36	0.21	0.21	0.33	0.29	0.21	0.21	0.18	0.58	0.18	0.58	0.69	0.38	0.29	0.29	0.48
0.34	0.91	0.76	0.32	0.29	0.76	0.19	0.22	0.22	0.74	0.91	0.22	0.22	0.35	0.34	0.35	0.34	0.29	0.24	0.91	0.91	0.73
0.51	0.32	0.32	1	0.3	0.32	0.2	0.2	0.2	0.37	0.32	0.2	0.2	0.67	0.32	0.67	0.32	0.3	0.29	0.32	0.32	0.32
0.34	0.94	0.76	0.32	0.29	0.76	0.19	0.22	0.22	0.74	0.94	0.22	0.22	0.35	0.34	0.35	0.34	0.29	0.24	0.94	0.94	0.73
0.34	0.76	0.94	0.32	0.29	0.94	0.19	0.28	0.28	0.74	0.76	0.28	0.28	0.35	0.41	0.35	0.41	0.29	0.24	0.76	0.76	0.73
0.27	0.41	0.26	0.24	0.21	0.26	0.27	0.3	0.3	0.24	0.41	0.3	0.3	0.27	0.26	0.27	0.26	0.21	0.74	0.41	0.41	0.23
0.34	0.76	1	0.32	0.29	0.94	0.19	0.28	0.28	0.74	0.76	0.28	0.28	0.35	0.41	0.35	0.41	0.29	0.24	0.76	0.76	0.73
0.47	0.19	0.19	0.2	0.36	0.19	1	0.77	0.77	0.24	0.19	0.77	0.77	0.22	0.23	0.22	0.23	0.44	0.43	0.19	0.19	0.46